City,Latitude,Longitude,Max Temperature,Humidity,Cloudiness,Wind Speed,City Country,City Date
albany,42.65,-73.75,63.0,77,90,3.36,US,1567658494
codrington,-28.95,153.24,89.6,15,2,3.36,AU,1567658490
puerto ayora,-0.74,-90.35,68.0,95,43,6.53,EC,1567658458
bredasdorp,-34.53,20.04,37.4,93,25,7.83,ZA,1567658464
jamestown,-33.21,138.6,59.79,51,13,13.51,AU,1567658380
donegal,54.65,-8.11,55.65,80,66,19.93,IE,1567658643
gimli,50.63,-96.99,63.0,72,100,5.01,CA,1567658643
bahir dar,11.59,37.39,64.83,87,45,1.81,ET,1567658643
saint-joseph,43.56,6.97,71.6,82,0,4.7,FR,1567658422
east london,-33.02,27.91,55.4,100,40,10.29,ZA,1567658481
college,64.86,-147.8,59.0,54,90,8.05,US,1567658567
luderitz,-26.65,15.16,55.4,82,0,12.75,NA,1567658501
bluff,-23.58,149.07,87.33,10,0,3.47,AU,1567658457
rikitea,-23.12,-134.97,72.21,76,37,6.26,PF,1567658458
punta arenas,-53.16,-70.91,33.8,86,40,4.7,CL,1567658464
mahebourg,-20.41,57.7,75.99,73,40,12.75,MU,1567658320
aranos,-24.14,19.11,58.35,23,20,8.52,NA,1567658645
faro,37.02,-7.94,73.99,60,0,5.82,PT,1567658516
beba,22.44,-79.73,75.2,94,70,3.36,CU,1567658645
aykhal,65.95,111.51,39.2,100,90,6.71,RU,1567658552
carauari,-4.88,-66.9,75.27,79,88,1.52,BR,1567658646
ushuaia,-54.81,-68.31,41.0,56,0,5.82,AR,1567658147
port lincoln,-34.72,135.86,55.47,66,24,28.43,AU,1567658647
salalah,17.01,54.1,80.6,88,75,3.36,OM,1567658413
damara,4.96,18.7,71.6,100,20,3.36,CF,1567658647
saskylakh,71.97,114.09,40.89,53,82,6.22,RU,1567658533
mataura,-46.19,168.86,52.0,76,75,7.0,NZ,1567658463
callaway,46.98,-95.91,63.0,82,1,6.93,US,1567658648
mahon,51.89,-8.4,48.2,87,20,8.05,IE,1567658648
verkhnyaya inta,65.99,60.32,61.41,57,7,13.31,RU,1567658648
consolacion del sur,22.5,-83.51,74.73,93,43,1.32,CU,1567658648
tuktoyaktuk,69.44,-133.03,48.2,87,75,9.17,CA,1567658466
la ronge,55.1,-105.3,51.8,93,40,4.7,CA,1567658512
lieksa,63.32,30.02,54.39,88,87,7.92,FI,1567658649
kaitangata,-46.28,169.85,48.99,68,97,8.01,NZ,1567658468
srednekolymsk,67.46,153.71,59.43,36,94,14.7,RU,1567658650
